회사명,성명,관계,주식수_판단,LLM_entity_type,LLM_세부관계,LLM_가족여부,LLM_근거,LLM_is_person,LLM_관계유형
BYC,한석범,최대주주의 특수관계인,430,사람,아들,확실,"'BYC 오너 일가 유산 소송' 기사에서 한석범 회장이 BYC의 오너이며, 'BYC - 나무위키'에서 한석범 회장이 BYC의 오너임을 확인했습니다.",True,
BYC,한지형,최대주주의 특수관계인,0,사람,기타가족,가족으로 예상됨,"여러 기사에서 한지형은 고 한영대 창업주의 장녀이자 한석범 회장의 누나로 언급되며, 유류분 반환청구 소송 등 상속 분쟁에 관여하고 있어 오너 일가임을 추정할 수 있습니다.",True,
BYC,한지형,최대주주의 특수관계인,430,사람,기타가족,가족으로 예상됨,"한지형은 창업주 고 한영대 회장의 장녀이며, 한승우 상무의 고모로 언급됩니다. 또한 백양의 최대주주로, BYC 오너 일가 상속 분쟁에 연관되어 있습니다.",True,
BYC,장은숙,최대주주의 특수관계인,25621,사람,기타가족,가족으로 예상됨,"주주 정보에서 '장은숙'이 '최대주주의 특수관계인'으로 명시되어 있으며, BYC의 대표자(회장/CEO)가 김대환이므로, 특수관계인이라는 점을 고려할 때 가족일 가능성이 높습니다. 정확한 관계는 알 수 없지만, 최대주주와 특수관계인이라는 점은 가족일 가능성을 시사합니다.",True,
BYC,한지원,최대주주의 특수관계인,28126,사람,기타가족,불확실,"최대주주의 특수관계인으로 기재되었으나, 구체적인 가족 관계(배우자, 자녀 등)는 알 수 없으며, BYC 관련 웹 검색 결과는 닭 키우는 커뮤니티와 관련된 내용이어서 가족 관계를 판단하기 어렵습니다.",True,
BYC,한서원,최대주주의 특수관계인,21560,사람,딸,확실,"여러 기사에서 한서원 이사가 BYC 한석범 사장의 딸이자 창업주 한영대 회장의 손녀로 언급되고 있으며, 오너 3세로 경영 승계와 관련된 내용으로 다뤄지고 있습니다.",True,
BYC,한승우,최대주주의 특수관계인,23065,사람,기타가족,불확실,"'최대주주의 특수관계인'으로 기재되었으나, 구체적인 가족 관계(배우자, 자녀 등)에 대한 정보가 없어 불확실함. BYC 관련 웹 검색 결과는 닭 관련 커뮤니티에서 BYC라는 이름이 사용된 것일 뿐, 주주 '한승우'와 직접적인 가족 관계를 나타내지 않음.",True,
BYC,한상훈,발행회사 임원,20,사람,가족아님,불확실,"한상훈이라는 이름이 BYC의 회장(한영대)과 동일 인물인지 확인할 수 없으며, 발행회사 임원으로 등재된 것으로 보아 가족 관계가 불확실합니다.",True,
BYC,한상훈,발행회사 임원,43,사람,기타가족,불확실,"한상훈 주주가 BYC 회장인 한영대와 어떤 관계인지 명확한 정보가 없으며, '기타가족'으로 분류하는 것이 가장 적절합니다.",True,
BYC,김대환,발행회사 임원,560,,,확실,회사 대표자(본인)과 이름이 일치하여 본인으로 간주함.,,본인
BYC,김대환,발행회사 임원,151,,,확실,회사 대표자(본인)과 이름이 일치하여 본인으로 간주함.,,본인
BYC,하민호,발행회사 임원,20,사람,가족아님,불확실,"주주 정보에 '발행회사 임원'으로 기재되어 있지만, 대표자(김대환)와의 가족 관계에 대한 정보가 전혀 없으며, 검색 결과에서도 관련 내용을 찾을 수 없습니다. 임원이라는 직책 외에 다른 정보가 부족하여 가족 여부를 판단하기 어렵습니다.",True,
BYC,김학진,발행회사 임원,32,사람,가족아님,불확실,"주주 정보에 '김학진'이라는 이름이 기재되었고, 발행회사 임원으로 등재되었으나, 대표자(김대환)와의 관계에 대한 정보가 없어 가족 여부를 판단하기 어렵습니다.",True,
BYC,계,계,1271,회사/법인,가족아님,불확실,"'계'는 주주 이름으로, 개인 이름이 아닌 회사/법인/재단/계 등을 나타내는 명칭일 가능성이 높습니다. 따라서 회사 대표자(김대환)와 가족 관계가 있다고 판단하기 어렵습니다.",False,
BYC,계,계,394384,회사/법인,가족아님,불확실,"'계'라는 이름은 개인 이름보다는 회사나 법인, 재단 등 조직의 주주 정보에 사용되는 경우가 많습니다. BYC의 주주 정보로 기재된 점을 고려할 때 개인보다는 조직일 가능성이 높습니다.",False,
BYC,계,계,395655,회사/법인,가족아님,불확실,"'계'는 주주 이름으로, 개인 이름이 아닌 '계'라는 명칭으로 주식이 보유되어 있어 개인인지 법인인지 불확실하며, 회사 대표인 김대환과의 가족 관계는 확인되지 않습니다.",False,
